일련번호,시도명,시군구명,대피지구명,대피장소명,주소,수용가능인원수,대피소 분류명,해변으로부터거리,내진적용여부,해발높이,경도,위도
61,울산광역시,남구,장생포해안지구,장생포항 야산,울산광역시 남구 야음장생포동 산102-1,200,공터,250,,12,129.37126700,35.50270700
53,부산광역시,해운대구,해운대지구,해운대구청,부산 해운대구 중동2로 11,1000,공공건축물,520,적용,15,129.16385300,35.16324100
54,부산광역시,해운대구,해운대지구,해운대구관광시설관리사업소,부산 해운대구 중동 1415-48,100,공공건축물,50,적용,11,129.16038700,35.15926600
55,부산광역시,해운대구,송정지구,죽도공원,부산 해운대구 송정동 산52-1,1000,공터,100,,12,129.20538300,35.17945000
51,부산광역시,해운대구,해운대지구,달맞이고개,부산 해운대구 중동 974-1,1000,공터,590,,26,129.18229900,35.15686600
52,부산광역시,해운대구,해운대지구,동백공원,부산 해운대구 우동 710-1,5000,공터,460,,40,129.15193200,35.15358700
46,부산광역시,수영구,광안지구,광안초등학교,부산 수영구 광안동 154,850,학교운동장,450,,11,129.11678000,35.15741800
47,부산광역시,수영구,광안지구,한바다중학교,부산 수영구 광안동 154-1,918,학교운동장,445,,11,129.11808500,35.15741400
48,부산광역시,수영구,민락지구,백산,부산 수영구 민락동 327-2,1236,공터,650,,40,129.12616500,35.16278300
49,부산광역시,수영구,민락지구,민락초등학교,부산 수영구 광남로257번길 12,2199,학교운동장,600,,29,129.12710500,35.16094700
50,부산광역시,수영구,민락지구,민락동 행정복지센터,부산 수영구 광안해변로295번길 20,203,공공건축물,410,적용,12,129.12540800,35.15734400
44,부산광역시,수영구,남천지구,수영구청,부산 수영구 남천동 148-15,1731,공공건축물,410,적용,21,129.11341900,35.14592100
45,부산광역시,수영구,남천지구,코오롱하늘채아파트,부산 수영구 남천2동 남천동 151,16503,민간건축물,370,적용,28,129.11231300,35.14266300
81,울산광역시,북구,신명지구,지경IC,울산광역시 북구 신명동 산1-2,100,공터,150,,20,129.44786000,35.65100100
82,울산광역시,북구,정자지구,울산교육연수원,울산광역시 북구 정자동 272,400,공터,500,,16,129.44413700,35.61392400
83,울산광역시,북구,정자지구,울산인성교육센터,울산광역시 북구 정자동 321,400,공터,250,,11,129.44684300,35.61587700
84,울산광역시,북구,정자지구,벽산 블루밍아파트 주차장,울산광역시 북구 정자동 3,500,공터,100,,21,129.44759700,35.61994800
85,울산광역시,북구,정자지구,컴온비치호텔,울산광역시 북구 정자동 435,300,공터,100,,13,129.44570000,35.62136000
86,울산광역시,울주군,강양지구,만포횟집마당,울산광역시 울주군 온산읍 강양리 91-1,50,공터,200,,16,129.34724900,35.39129500
87,울산광역시,울주군,강양지구,야산(공터),울산광역시 울주군 온산읍 강양리 161,150,공터,210,,9,129.34526500,35.39363400
88,울산광역시,울주군,나사지구,서생중학교운동장,울산광역시 울주군 서생면 신암리 8-1,300,학교운동장,350,,15,129.33121400,35.35070600
77,울산광역시,북구,당사지구,튜릭아트박물관,울산광역시 북구 당사동 465-2,200,공터,150,,14,129.45464000,35.58187600
78,울산광역시,북구,산하지구,시코어 호텔 주차장,울산광역시 북구 산하동 55-1,200,공터,80,,11,129.44182800,35.63422000
79,울산광역시,북구,신명지구,교육수련원 운동장,울산광역시 북구 신명동 153-5,200,공터,150,,11,129.43944300,35.64135800
80,울산광역시,북구,신명지구,신명동 야산,울산광역시 북구 신명동 134-2,100,공터,230,,24,129.43922700,35.64442800
75,울산광역시,북구,당사지구,어물동 야산,울산광역시 북구 어물동 산372,300,공터,200,,15,129.44947700,35.57536700
76,울산광역시,북구,당사지구,우가경로당 주차장,울산광역시 북구 당사동 116-5,30,공터,70,,12,129.46293600,35.59577500
73,울산광역시,북구,구유지구,제전마을 야산,울산광역시 북구 구유동 82-3,200,공터,200,,20,129.45745100,35.60525400
74,울산광역시,북구,당사지구,강동축구장 주차장,울산광역시 북구 당사동 214,300,공터,300,,18,129.45646400,35.58770700
63,울산광역시,동구,방어지구(울산),방어진초등학교(운동장),울산광역시 동구 방어동 146,4557,학교운동장,500,,17,129.42476900,35.48742600
64,울산광역시,동구,방어지구(울산),성끝마을 수협위판장 뒤 야산,울산광역시 동구 방어동 18-32,4242,공터,150,,18,129.43208300,35.48440700
65,울산광역시,동구,방어지구(울산),화암초등학교(운동장),울산광역시 동구 방어동 1150,7963,학교운동장,300,,21,129.41568200,35.48436200
66,울산광역시,동구,일산지구,고늘마을 현대주차장 옆 공터,울산광역시 동구 일산동 305-4,2545,공터,160,,28,129.43449400,35.50186200
67,울산광역시,동구,일산지구,대왕암 앞 공영주차장,울산광역시 동구 일산동 901,5854,공터,170,,18,129.43403400,35.49056500
68,울산광역시,동구,일산지구,일산지 공영주차장,울산광역시 동구 일산동 963,5212,공터,230,,17,129.42874400,35.49461000
69,울산광역시,동구,주전지구,주전 카페 멍데이 뒤 야산,울산광역시 동구 주전동 14,3515,공터,200,,18,129.45291600,35.56697600
70,울산광역시,동구,주전지구,주전초등학교(운동장),울산광역시 동구 주전동 277,3939,학교운동장,90,,18,129.45683600,35.55787400
71,울산광역시,북구,구유지구,복성마을 야산,울산광역시 북구 구유동 산64,100,공터,150,,22,129.45514700,35.60787500
72,울산광역시,북구,구유지구,정자오피스텔 주차장,울산광역시 북구 구유동 232,300,공터,100,,12,129.45707000,35.61146700
97,울산광역시,울주군,진하지구,진하회관,울산광역시 울주군 서생면 진하리 255,100,공터,580,,6,129.34252600,35.38672100
98,울산광역시,울주군,평동지구,평동어촌계회관마당,울산광역시 울주군 서생면 대송리 67-2,120,공터,120,,10,129.35324600,35.35633500
99,울산광역시,울주군,평동지구,평동회관마당,울산광역시 울주군 서생면 대송리 77-2,50,공터,210,,12,129.35350300,35.35674900
100,강원도,강릉시,강릉항지구,송정해변 신도브래뉴아파트,강원도 강릉시 송정동 289,3500,민간건축물,350,1등급,6,128.93791300,37.77579600
101,강원도,강릉시,강릉항지구,죽도봉,강원도 강릉시 송정동 11-1,800,공터,200,,33,128.95155400,37.76976900
102,강원도,강릉시,강문지구,강릉교회,강원도 강릉시 초당동 134,3600,민간건축물,100,2등급,6,128.91624700,37.79331300
103,강원도,강릉시,강문지구,강릉고등학교,강원도 강릉시 초당동 70,8600,공공건축물,550,2등급,6,128.91686000,37.78781300
104,강원도,강릉시,경포지구,경포산장콘도,강원도 강릉시 경포동 50-2,800,민간건축물,300,1등급,23,128.90009800,37.80965400
127,강원도,강릉시,주문진해변지구,우일아파트 야산,강원도 강릉시 주문진읍 주문리 산96-1,900,공터,200,,24,128.82509900,37.90477100
89,울산광역시,울주군,나사지구,호소공원버스정류장,울산광역시 울주군 서생면 나사리 산15-6,200,도로변,200,,13,129.34341200,35.35694100
90,울산광역시,울주군,대송송정지구,간절곶해오름야영장 운동장,울산광역시 울주군 서생면 대송리 195,100,학교운동장,350,,23,129.35753500,35.35941000
91,울산광역시,울주군,대송송정지구,송정회관마당,울산광역시 울주군 서생면 대송리 335-6,50,공터,300,,23,129.35342300,35.36631000
92,울산광역시,울주군,대송송정지구,송정공원,울산광역시 울주군 서생면 대송리 339-29,150,공터,400,,30,129.35464400,35.36992300
93,울산광역시,울주군,신암지구,서생면사무소주차장,울산광역시 울주군 서생면 신암리 245-2,400,공터,250,,17,129.32638000,35.34992700
94,울산광역시,울주군,신암지구,소망교회주차장,울산광역시 울주군 서생면 신암리 324,100,공터,300,,17,129.31993000,35.34513300
95,울산광역시,울주군,신암지구,신암회관마당,울산광역시 울주군 서생면 신암리 454,100,공터,300,,12,129.32332700,35.34922600
96,울산광역시,울주군,진하지구,성동초등학교,울산광역시 울주군 서생면 서생리 387,500,공공건축물,520,1등급,9,129.34176300,35.38566700
120,강원도,강릉시,정동지구,메밀골동해막국수(정동진점),강원도 강릉시 강동면 정동진리 51-4,260,민간건축물,400,2등급,63,129.04094000,37.68101300
121,강원도,강릉시,정동지구,고성산,강원도 강릉시 강동면 정동진리 267-4번지,120,공터,200,,53,129.03378000,37.68960700
122,강원도,강릉시,정동지구,정동초등학교,강원도 강릉시 강동면 정동진리 184,160,공공건축물,300,1등급,10,129.03357400,37.68722100
123,강원도,강릉시,주문진항지구,주문진감리교회,강원도 강릉시 주문진읍 주문리 346-1,500,민간건축물,300,2등급,10,128.82637000,37.89389000
124,강원도,강릉시,주문진항지구,주문진성당,강원도 강릉시 주문진읍 교항리 산56,300,민간건축물,500,2등급,20,128.82192300,37.88527400
125,강원도,강릉시,주문진항지구,주영초등학교,강원도 강릉시 주문진읍 주문리 461,320,공공건축물,650,1등급,22,128.82670000,37.89799800
126,강원도,강릉시,주문진해변지구,소돌휴게소,강원도 강릉시 주문진읍 향호리 8-3,470,민간건축물,250,2등급,19,128.82936000,37.90503900
112,강원도,강릉시,안인지구,강인교회,강원도 강릉시 강동면 안인진리 270-18,150,민간건축물,600,2등급,12,128.98259100,37.72772700
113,강원도,강릉시,안인지구,봉화산,강원도 강릉시 강동면 안인진리 20-1,50,공터,300,,58,128.98695700,37.73665300
114,강원도,강릉시,안인지구,하시동2리 마을회관,강원도 강릉시 강동면 하시동리 56-1,100,공공건축물,900,2등급,27,128.97274500,37.73719300
115,강원도,강릉시,안인지구,노암동성당수련원,강원도 강릉시 강동면 안인진리 213-1,100,민간건축물,500,2등급,12,128.98612100,37.73075900
116,강원도,강릉시,영진항지구,육군1901부대 2대대,강원도 강릉시 연곡면 영진리 137,700,공터,300,,29,128.84753400,37.86688300
117,강원도,강릉시,옥계지구,기마봉 야산,강원도 강릉시 옥계면 금진리 96,2000,공터,300,,10,129.04846800,37.65544100
118,강원도,강릉시,옥계지구,옥계역,강원도 강릉시 옥계면 주수리 100,70,공공건축물,600,1등급,11,129.04971400,37.61689600
119,강원도,강릉시,옥계지구,한국여성수련원,강원도 강릉시 옥계면 금진리 464-1,6300,공공건축물,300,1등급,10,129.04622200,37.62953200
108,강원도,강릉시,동덕지구,강릉원주대학 해양생물연구교육센터,강원도 강릉시 사천면 사천진리 산5-3,5900,민간건축물,150,1등급,7,128.86217100,37.85055700
109,강원도,강릉시,사천뒷불지구,강릉성결교회 부설 진리수양관,강원도 강릉시 사천면 사천진리 산72-1,280,민간건축물,1100,1등급,10,128.86868300,37.84173700
110,강원도,강릉시,사천뒷불지구,장구바위 야산,강원도 강릉시 사천면 사천진리 1-3,300,공터,420,,10,128.87651700,37.83998300
111,강원도,강릉시,심곡지구,곰두리연수원,강원도 강릉시 강동면 심곡리 57,150,민간건축물,350,2등급,61,129.05097200,37.66727500
142,강원도,고성군,대진지구,대진초등학교 고지대,강원도 고성군 현내면 대진리 148,1700,학교운동장,214,,11,128.42367500,38.49705200
143,강원도,고성군,대진지구,명파교회 고지대,강원도 고성군 현내면 명파리 295-33,300,공터,562,,22,128.40132200,38.53731800
144,강원도,고성군,대진지구,현내면공설운동장 고지대,강원도 고성군 현내면 대진리 310,2000,공터,563,,14,128.41861000,38.50079700
145,강원도,고성군,문암지구,문암군부대앞산 고지대,강원도 고성군 죽왕면 문암진리 산1-8임,450,공터,95,,25,128.54804300,38.30344000
146,강원도,고성군,문암지구,문암진리앞산 고지대,강원도 고성군 죽왕면 문암진리 95-2임,300,공터,285,,15,128.54301800,38.30018000
147,강원도,고성군,문암지구,오호초등학교뒷산 고지대,강원도 고성군 죽왕면 삼포리 215-5임,200,공터,508,,13,128.53077900,38.31450600
105,강원도,강릉시,경포지구,현대아파트 앞 야산,강원도 강릉시 경포동 산10,2000,공터,800,,10,128.89958800,37.80132800
106,강원도,강릉시,경포지구,씨마크호텔,강원도 강릉시 강문동 274-1,700,민간건축물,100,1등급,26,128.91539400,37.79799200
107,강원도,강릉시,남항진지구,세인트컨벤션웨딩홀,강원도 강릉시 성덕동 42,1870,민간건축물,250,2등급,12,128.94970900,37.76512600
136,강원도,고성군,공현진지구,공현진초등학교 고지대,강원도 고성군 죽왕면 공현진리 334,700,공터,309,,12,128.50720800,38.35420800
137,강원도,고성군,공현진지구,송지호오토캠핑장뒷산 고지대,강원도 고성군 죽왕면 오봉리 12-2,200,공터,385,,17,128.51163500,38.34203100
138,강원도,고성군,교암지구,동광초등학교 운동장,강원도 고성군 토성면 교암리 86,500,공터,348,,11,128.54399100,38.28877500
139,강원도,고성군,교암지구,백촌복지회관 고지대,강원도 고성군 토성면 백촌리 123,50,공터,570,,10,128.54041700,38.29198300
140,강원도,고성군,교암지구,천학정야산 고지대,강원도 고성군 토성면 교암리 177-6임,200,공터,55,,15,128.54753400,38.28839100
141,강원도,고성군,대진지구,대진감리교회 고지대,강원도 고성군 현내면 대진리 189-1,300,공터,242,,34,128.42674800,38.49517200
129,강원도,고성군,가진지구,가진항뒷산 고지대,강원도 고성군 죽왕면 가진리 산16임,400,공터,69,,17,128.51080800,38.36811100
130,강원도,고성군,가진지구,동호리뒷산 고지대,강원도 고성군 간성읍 동호리 산10-3임,1170,공터,970,,22,128.47609500,38.39180200
131,강원도,고성군,거진지구,거성초등학교 고지대,강원도 고성군 거진읍 진리 180,1800,학교운동장,437,,29,128.45738300,38.45258000
132,강원도,고성군,거진지구,거진성황당 고지대,강원도 고성군 거진읍 거진리 10-6임,500,공터,138,,32,128.46241100,38.45047500
133,강원도,고성군,거진지구,거진정보공업고등학교 고지대,강원도 고성군 거진읍 거진리 432,1800,학교운동장,393,,10,128.45028100,38.44094800
134,강원도,고성군,거진지구,거진중학교 고지대,강원도 고성군 거진읍 봉평리 31-1,1500,학교운동장,628,,11,128.44769800,38.44708700
135,강원도,고성군,공현진지구,공현진교회 고지대,강원도 고성군 죽왕면 공현진리 85,50,공터,186,,20,128.50923400,38.35531700
166,강원도,동해시,노봉지구,노봉해수욕장내 야산,강원도 동해시 망상동 170-1,400,공터,100,,19,129.09816040,37.58828700
167,강원도,동해시,노봉지구,목재유통센터,강원도 동해시 망상동 721,400,공터,700,,28,129.09965500,37.58166600
168,강원도,동해시,망상지구,기곡마을입구,강원도 동해시 망상동 409-21,5000,공터,460,,24,129.08063300,37.59608400
128,강원도,고성군,가진지구,가진교회 고지대,강원도 고성군 죽왕면 가진리 123-3,300,공터,148,,12,128.50790900,38.37254000
160,강원도,고성군,천진지구,천진리뒷산(2) 고지대,강원도 고성군 토성면 천진리 산32임,450,공터,691,,16,128.55303200,38.25549500
161,강원도,고성군,초도지구,대진중고등학교 고지대,강원도 고성군 현내면 초도리 75,390,학교운동장,296,,15,128.43310600,38.48432800
162,강원도,고성군,초도지구,이승만별장 고지대,강원도 고성군 현내면 죽정리 산1-3임,50,공터,689,,20,128.43643400,38.47089500
163,강원도,고성군,초도지구,초도항뒷산 고지대,강원도 고성군 현내면 초도리 222-30,50,공터,151,,13,128.43065100,38.48851100
164,강원도,고성군,초도지구,화진포정보화마을 고지대,강원도 고성군 현내면 초도리 84임,130,공터,111,,30,128.43693100,38.48366700
165,강원도,동해시,노봉지구,노봉택지,강원도 동해시 망상동 14-5,400,공터,550,,27,129.10546370,37.58209100
154,강원도,고성군,아야진지구,아야진침례교회 고지대,강원도 고성군 토성면 아야진리 41,150,공터,95,,12,128.55515800,38.27222100
155,강원도,고성군,아야진지구,토성정수장 고지대,강원도 고성군 토성면 청간리 산36-3임,100,공터,379,,30,128.55479300,38.26518600
156,강원도,고성군,오호지구,삼포마을뒷산 고지대,강원도 고성군 죽왕면 삼포리 산55-1임,150,공터,442,,27,128.52929600,38.31504200
157,강원도,고성군,오호지구,오호교회 고지대,강원도 고성군 죽왕면 오호리 170,150,공터,236,,15,128.52514500,38.32920600
158,강원도,고성군,오호지구,죽왕초등학교뒷산 고지대,강원도 고성군 죽왕면 오호리 산39-1임,700,공터,442,,20,128.52273800,38.33069700
159,강원도,고성군,천진지구,천진리뒷산(1) 고지대,강원도 고성군 토성면 천진리 산3-1,300,공터,445,,18,128.55512900,38.25600500
190,강원도,동해시,추암지구,추암택지,강원도 동해시 추암동 23,500,도로변,500,,35,129.15724000,37.47670800
148,강원도,고성군,반암지구,반암리뒷산 고지대,강원도 고성군 거진읍 반암리 73-1 임,500,공터,325,,24,128.45912500,38.42331900
149,강원도,고성군,반암지구,반암초소 고지대,강원도 고성군 거진읍 반암리 53-1임,200,공터,183,,33,128.46112600,38.42309700
150,강원도,고성군,봉포지구,경동대학교 고지대,강원도 고성군 토성면 봉포리 306-3,1400,공터,649,,19,128.55646800,38.25159000
151,강원도,고성군,봉포지구,속초기상대 고지대,강원도 고성군 토성면 봉포리 111-3,150,공터,268,,18,128.56440400,38.25072800
152,강원도,고성군,아야진지구,아야진장로교회 고지대,강원도 고성군 토성면 청간리 2-1,150,공터,219,,16,128.55432100,38.26910000
153,강원도,고성군,아야진지구,아야진초등학교 고지대,강원도 고성군 토성면 아야진리 20,1600,학교운동장,413,,27,128.54959000,38.27337000
182,강원도,동해시,어달지구,어달마을내 도로,강원도 동해시 어달동 134-5,400,도로변,100,,12,129.11772500,37.56712600
183,강원도,동해시,어달지구,어달소공원,강원도 동해시 어달동 47,400,공터,280,,28,129.11862360,37.56548000
184,강원도,동해시,용정지구,감추사해안도로주차장,강원도 동해시 천곡동 78-1,30,공터,150,,27,129.12405100,37.51627400
185,강원도,동해시,천곡지구,가세마을야산,강원도 동해시 천곡동 1-4,100,공터,300,,22,129.12197100,37.52752800
186,강원도,동해시,천곡지구,법원삼거리옆 산책로,강원도 동해시 천곡동 818,100,공터,260,,18,129.11998400,37.52247200
187,강원도,동해시,추암지구,만경대,강원도 동해시 구미동 산53,50,공터,100,,31,129.13664100,37.48715400
188,강원도,동해시,추암지구,북평공단 소공원,강원도 동해시 구호동 249-1,200,공터,400,,13,129.15561700,37.47967300
189,강원도,동해시,추암지구,추암조각공원,강원도 동해시 추암동 477,400,공터,350,,11,129.15743420,37.47968200
174,강원도,동해시,"묵호,발한지구",일출공원,강원도 동해시 묵호진동 2-126,100,공터,50,,23,129.12004000,37.55507000
175,강원도,동해시,부곡지구,평릉공원,강원도 동해시 평릉동 102-2,100,공터,400,,22,129.11214700,37.53602400
176,강원도,동해시,부곡지구,하평 주차장,강원도 동해시 천곡동 84-1,50,공터,150,,13,129.11572890,37.53387800
177,강원도,동해시,어달지구,단병공입구,강원도 동해시 대진동 155-8,200,도로변,200,,24,129.11468400,37.57701700
178,강원도,동해시,어달지구,대진도로,강원도 동해시 대진동 196-4,300,도로변,100,,15,129.11259450,37.57983400
179,강원도,동해시,어달지구,동해비치호텔위 마을주차장,강원도 동해시 묵호진동 2-42,100,공터,100,,20,129.12071910,37.55787300
180,강원도,동해시,어달지구,바위섬횟집뒤 도로,강원도 동해시 어달동 11-11,100,도로변,100,,16,129.11891250,37.56073400
181,강원도,동해시,어달지구,선창횟집뒤,강원도 동해시 어달동 25,400,공터,90,,20,129.11922500,37.56286400
201,강원도,삼척시,상맹방1지구,국도굴다리옆공터,강원도 삼척시 근덕면 상맹방리 229-4,100,도로변,250,,13,129.20434500,37.40459900
202,강원도,삼척시,상맹방2지구,맹방초등학교,강원도 삼척시 근덕면 상맹방리 171-1,200,학교운동장,423,,15,129.21326800,37.39873900
169,강원도,동해시,망상지구,망상초등학교 옆,강원도 동해시 망상동 360-16,2000,공터,330,,10,129.08983500,37.59118900
